drug1,drug2,3pathssGSEA_sim,SMILES_sim,PPI_sim
Cetuximab,HG-6-64-1,0.873343939,0.213636364,0.9
BIX02189,NSC-207895,0.873286158,0.168888889,1.64259E-78
Lapatinib,SN-38,0.873280957,0.240208877,6.45759E-66
CX-5461,SGC0946,0.873190017,0.258454106,9.44413E-97
Gemcitabine,JQ12,0.873185144,NA,3.96768E-71
AZD7762,BMS-345541,0.873156661,0.112,1.97539E-72
AT-7519,NVP-BHG712,0.87314479,0.266159696,3.96768E-71
KIN001-260,Temozolomide,0.87311951,0.124137931,NA
681640,MP470,0.873082161,0.245901639,6.45759E-66
CCT007093,JQ1,0.873081289,0.14527027,2.37561E-66
Dabrafenib,Phenformin,0.873080062,0.090225564,8.0587E-113
Parthenolide,Ruxolitinib,0.873076807,0.089552239,1.18275E-67
VX-680,WZ-1-84,0.873014524,0.422413793,4.6334E-131
CX-5461,Vorinostat,0.873000969,0.157377049,1.21372E-77
BMS-754807,QL-XII-61,0.872987787,NA,1.80132E-75
JNJ-26854165,KIN001-270,0.872942307,0.282926829,2.8468E-136
T0901317,Tubastatin A,0.872928369,0.184684685,1.7045E-131
Temozolomide,Vinblastine,0.872908951,0.145728643,2.22301E-79
CAY10603,KIN001-260,0.872861302,0.182481752,NA
JNJ-26854165,piperlongumine,0.872851442,0.163398693,4.8965E-75
ATRA,Nilotinib,0.872845022,0.067567568,5.88856E-69
IPA-3,Vinblastine,0.872836535,0.08681672,3.21504E-67
Bexarotene,SB52334,0.872832351,0.159090909,NA
Cetuximab,S-Trityl-L-cysteine,0.872826773,0.26984127,5.88856E-69
Afatinib,AZD7762,0.872745946,0.164948454,2.16628E-69
ATRA,NPK76-II-72-1,0.872734957,NA,4.35109E-68
Bicalutamide,IOX2,0.872716919,0.262910798,2.02712E-82
ABT-869,NVP-TAE684,0.872692355,0.192139738,1.21372E-77
Embelin,FMK,0.872681465,0.077586207,1.07853E-70
SB590885,XMD11-85h,0.87264342,NA,2.56718E-96
EHT 1864,KIN001-135,0.87258555,0.221153846,NA
JQ12,ZSTK474,0.872521507,NA,7.45737E-83
CEP-701,WZ3105,0.872497904,NA,0.9
Bryostatin 1,GNF-2,0.87248754,0.101265823,1.13576E-90
PFI-1,XMD11-85h,0.872424278,NA,1.40163E-94
GDC0941,XMD13-2,0.872362081,NA,NA
BMS-708163,Epothilone B,0.872345884,0.147601476,NA
KIN001-236,Midostaurin,0.872320743,NA,NA
BIX02189,XAV 939,0.872316628,0.265306122,4.17821E-91
5-Fluorouracil,BIRB 0796,0.872296126,0.126168224,0.9
MS-275,ZM-447439,0.872260111,0.353535354,1.18275E-67
Epothilone B,JNK-9L,0.872253427,0.12455516,NA
KU-55933,S-Trityl-L-cysteine,0.872245342,0.17,4.70196E-98
CI-1040,Vorinostat,0.872201133,0.258503401,0.9
681640,AZD7762,0.87218942,0.217213115,0.9
PAC-1,Tubastatin A,0.872179693,0.175213675,0.9
HG-5-113-01,Pazopanib,0.872152509,NA,0.9
Crizotinib,GSK1070916,0.872104195,0.342857143,6.45759E-66
CGP-60474,NPK76-II-72-1,0.872090304,NA,2.3068E-132
FMK,XL-184,0.872064147,0.178988327,6.45759E-66
Epothilone B,Lapatinib,0.872060854,0.153846154,NA
Dabrafenib,Shikonin,0.872003672,0.139158576,6.45759E-66
CCT018159,Z-LLNle-CHO,0.871981888,0.16017316,2.02712E-82
NG-25,ZM-447439,0.871943344,0.467980296,2.37561E-66
Cytarabine,NVP-BHG712,0.871942661,0.106796117,1.97539E-72
AZD8055,CEP-701,0.871910158,0.217857143,0.9
AICAR,GW 441756,0.871894806,0.159468439,8.4863E-133
Etoposide,THZ-2-49,0.871885236,NA,3.6587E-117
KIN001-236,NVP-BEZ235,0.871848164,NA,NA
Masitinib,Parthenolide,0.871832978,0.08583691,4.35109E-68
GW-2580,Temsirolimus,0.871826512,0.114893617,4.8965E-75
BMS-754807,TW 37,0.871776662,0.166144201,4.35109E-68
A-443654,Mitomycin C,0.871752026,0.167259786,1.49785E-81
Afatinib,Methotrexate,0.871713653,0.268382353,6.45759E-66
CGP-082996,FH535,0.871672228,0.15942029,5.4299E-115
AS605240,CCT018159,0.871637481,0.2125,9.83489E-74
LFM-A13,T0901317,0.871636631,0.212903226,1.5543E-134
CP466722,JNK Inhibitor VIII,0.871632103,0.210526316,1.7045E-131
Parthenolide,SB-505124,0.871606412,0.097087379,2.889E-103
CUDC-101,HG-5-88-01,0.871581061,NA,0.9
Dasatinib,WH-4-023,0.871483423,0.31358885,0.9
CH5424802,NSC-87877,0.871421328,0.246753247,3.1219E-133
CCT018159,HG-5-113-01,0.871413447,NA,0.9
GDC0941,Trametinib,0.871411552,0.171091445,4.8965E-75
Genentech Cpd 10,KIN001-135,0.871379843,NA,NA
BMN-673,PHA-665752,0.871368599,0.218673219,1.49785E-81
Bleomycin,Temsirolimus,0.871354901,0.276699029,1.18275E-67
BX-912,S-Trityl-L-cysteine,0.871314912,0.141361257,2.16628E-69
Afatinib,HG-5-88-01,0.871260786,NA,0.9
Epothilone B,KIN001-270,0.871208969,0.147727273,NA
Axitinib,Z-LLNle-CHO,0.871178198,0.166666667,4.2251E-134
piperlongumine,SN-38,0.871143957,0.234693878,6.45759E-66
ABT-869,Bexarotene,0.871143567,0.144736842,3.2511E-110
LFM-A13,Tamoxifen,0.87108022,0.187969925,2.37561E-66
TAK-715,XMD8-85,0.871060674,0.261168385,2.37561E-66
KIN001-244,OSI-027,0.871034024,0.224719101,7.3486E-116
OSI-930,Temozolomide,0.87101552,0.173076923,2.43783E-76
GSK1070916,STF-62247,0.870989244,0.251028807,3.8528E-137
ZM-447439,ZSTK474,0.870981016,0.296116505,2.37561E-66
Embelin,HG-6-64-1,0.870965166,0.085714286,2.28123E-89
ABT-869,BIX02189,0.870959976,0.24120603,1.80132E-75
Imatinib,MLN4924,0.870881219,0.313953488,7.96929E-70
QL-XI-92,SB 216763,0.870853049,NA,1.1485E-133
Dabrafenib,Pazopanib,0.870843348,0.239747634,0.9
BX-795,PAC-1,0.870832625,0.190283401,3.61805E-74
Dabrafenib,Vinblastine,0.87079836,0.192477876,4.6334E-131
FTI-277,Parthenolide,0.870704813,0.147540984,1.5543E-134
Cytarabine,VX-11e,0.870700249,0.143812709,1.03567E-93
HG-5-88-01,TPCA-1,0.870681958,NA,8.73939E-67
Gemcitabine,Tamoxifen,0.870565175,0.130653266,0.9
BMS-708163,Lapatinib,0.870493847,0.22611465,1.18275E-67
OSI-930,UNC0638,0.870461485,0.260683761,1.7045E-131
BAY 61-3606,PF-4708671,0.870432384,0.303418803,2.50167E-86
GSK429286A,Y-39983,0.870421744,0.280788177,0.9
681640,AV-951,0.870421682,0.244343891,0.9
CH5424802,Tubastatin A,0.870406235,0.348547718,8.96826E-77
KIN001-135,OSU-03012,0.870376546,0.197324415,NA
BX-912,JQ1,0.870340502,0.188034188,2.37561E-66
AZD7762,VX-11e,0.870296907,0.240802676,3.61805E-74
CHIR-99021,Olaparib,0.870267318,0.178030303,2.37561E-66
AZD6244,PHA-665752,0.870261052,0.235119048,0.9
RO-3306,SNX-2112,0.870241953,0.203076923,2.1036E-135
FTI-277,Gemcitabine,0.870221636,0.165289256,1.18275E-67
Bortezomib,CAY10603,0.870203582,0.267241379,4.35109E-68
AP-24534,BI-2536,0.870182443,0.267558528,2.37561E-66
KIN001-244,NU-7441,0.87015602,0.272727273,1.1485E-133
IPA-3,MP470,0.870115635,0.147368421,6.6267E-76
GW 441756,NG-25,0.870084445,0.26122449,3.38564E-87
AICAR,MPS-1-IN-1,0.870051738,0.183333333,NA
ATRA,QL-X-138,0.870049547,0.080924855,2.37561E-66
BAY 61-3606,CH5424802,0.870047459,0.279411765,1.5773E-101
GW 441756,TPCA-1,0.869951541,0.168627451,4.1173E-124
SNX-2112,VX-11e,0.869912247,0.25,1.5543E-134
GNF-2,ZM-447439,0.869903178,0.479591837,1.07853E-70
681640,Afatinib,0.869895412,0.226337449,0.9
AKT inhibitor VIII,XL-880,0.869877776,0.299578059,7.96929E-70
Embelin,QL-X-138,0.869876184,0.086486486,2.4023E-109
Afatinib,JQ12,0.869855797,NA,1.8485E-85
NVP-TAE684,XMD8-92,0.869842575,0.5,3.21504E-67
Bleomycin,IPA-3,0.869823287,0.07751938,3.21504E-67
GSK-1904529A,PFI-1,0.869807869,0.254545455,5.4299E-115
Gemcitabine,Methotrexate,0.869772918,0.186131387,0.9
17-AAG,NU-7441,0.869759398,0.215053763,1.00924E-83
Methotrexate,MP470,0.869746061,0.276363636,0.9
FR-180204,WZ3105,0.869707137,NA,1.27812E-97
CI-1040,Pazopanib,0.869670122,0.179487179,0.9
Temsirolimus,TG101348,0.869664729,0.193050193,4.6334E-131
NSC-87877,ZSTK474,0.869636913,0.151724138,6.04277E-79
ABT-869,CP724714,0.869548892,0.266990291,1.5147E-124
NSC-87877,XMD8-85,0.869507074,0.177710843,2.7742E-126
PFI-1,Shikonin,0.869484419,0.151658768,1.13576E-90
Cyclopamine,LFM-A13,0.869480213,0.162337662,1.7045E-131
Shikonin,Tubastatin A,0.869451873,0.176211454,6.45759E-66
AP-24534,QL-XII-61,0.86936561,NA,4.35109E-68
CP724714,YK 4-279,0.869353175,0.27016129,NA
AV-951,UNC0638,0.869318384,0.296943231,1.7045E-131
CEP-701,NSC-207895,0.869312478,0.166666667,1.60068E-68
AICAR,SB590885,0.869306617,0.140243902,5.718E-135
AZ628,Bosutinib,0.869303388,0.227467811,1.10677E-80
FR-180204,Lapatinib,0.869293634,0.220640569,3.96768E-71
GSK269962A,LAQ824,0.869271759,0.223021583,1.21372E-77
CMK,QL-XII-61,0.869247912,NA,NA
HG-5-113-01,TL-1-85,0.869245641,NA,NA
MG-132,Rapamycin,0.869240762,0.098360656,6.45759E-66
CI-1040,IPA-3,0.869207968,0.105263158,6.45759E-66
MS-275,Temozolomide,0.869183294,0.168067227,3.81003E-94
SB-505124,Tubastatin A,0.869179218,0.219123506,2.37561E-66
Shikonin,Tamoxifen,0.86917396,0.277777778,0.9
CCT018159,Lenalidomide,0.869152251,0.170212766,8.96826E-77
BMS-509744,Tamoxifen,0.869122147,0.203791469,6.45759E-66
Erlotinib,QL-XII-61,0.869086668,NA,2.37561E-66
Doxorubicin,PLX4720,0.869033947,0.186851211,0.9
QL-XII-47,TW 37,0.868990483,0.226190476,3.61805E-74
PF-562271,VX-11e,0.868981567,0.325732899,4.35109E-68
FTI-277,PIK-93,0.868940845,0.215139442,5.718E-135
T0901317,XMD13-2,0.868894678,NA,NA
5-Fluorouracil,XL-880,0.868883471,0.126373626,0.9
BMN-673,XMD8-92,0.868817224,0.215469613,1.00924E-83
OSI-906,YM155,0.86877162,0.275735294,6.7011E-119
AZD-0530,MK-2206,0.868718992,0.168571429,0.9
Bleomycin,Methotrexate,0.8686917,0.291079812,0.9
681640,IPA-3,0.868654555,0.164383562,6.45759E-66
GSK1070916,PXD101; Belinostat,0.868635524,0.159836066,2.37561E-66
Gemcitabine,T0901317,0.86858497,0.138392857,2.37561E-66
Parthenolide,Pazopanib,0.868569904,0.085714286,4.35109E-68
(5Z)-7-Oxozeaenol,T0901317,0.868569337,0.158163265,8.0587E-113
AMG-706,JNK Inhibitor VIII,0.868557532,0.435406699,7.96929E-70
FMK,KIN001-102,0.86854725,0.339552239,4.17821E-91
AC220,NVP-TAE684,0.868505565,0.240121581,1.21372E-77
CX-5461,Z-LLNle-CHO,0.868498055,0.155223881,7.7385E-136
Gemcitabine,MS-275,0.868485154,0.145299145,2.93174E-70
JW-7-52-1,PIK-93,0.86847458,0.190140845,4.6334E-131
EHT 1864,MG-132,0.868450618,0.171171171,5.02473E-85
AZD7762,OSU-03012,0.868370677,0.216216216,8.4863E-133
Afatinib,BAY 61-3606,0.868368713,0.319548872,1.64259E-78
Vinblastine,ZSTK474,0.868357069,0.166666667,3.21504E-67
QL-X-138,XMD8-92,0.868348343,0.294117647,8.96826E-77
KIN001-270,ZG-10,0.868332854,0.481981982,NA
17-AAG,ABT-869,0.868322968,0.098360656,6.04277E-79
IPA-3,JQ12,0.868294833,NA,1.80132E-75
Cytarabine,UNC0638,0.868293854,0.169354839,8.6119E-100
Nutlin-3a,XMD8-85,0.868255811,0.24742268,2.7034E-116
FR-180204,OSI-906,0.868252307,0.359447005,1.7045E-131
QL-XII-47,WZ3105,0.868240404,NA,4.35109E-68
Mitomycin C,Sorafenib,0.868228743,0.133802817,4.6334E-131
A-770041,AZD6244,0.868219249,0.260869565,5.88856E-69
Trametinib,UNC1215,0.868176411,0.226086957,3.96768E-71
Afatinib,AS605240,0.868111534,0.217021277,2.1347E-102
EHT 1864,KIN001-270,0.868021288,0.190311419,6.2706E-132
Bexarotene,PHA-665752,0.868005527,0.171641791,1.00924E-83
Docetaxel,VX-680,0.867986154,0.189189189,8.73939E-67
Camptothecin,PF-4708671,0.867893084,0.226973684,6.3634E-99
JW-7-24-1,THZ-2-49,0.867887161,NA,4.46503E-78
AS605240,Bryostatin 1,0.86787426,0.128571429,1.7045E-131
Methotrexate,PAC-1,0.867845244,0.211618257,6.45759E-66
EX-527,FTI-277,0.867834904,0.183962264,8.4863E-133
Cetuximab,CHIR-99021,0.86781621,0.2,1.60068E-68
Methotrexate,Paclitaxel,0.867813321,0.265454545,0.9
AV-951,CH5424802,0.867804363,0.256,1.68561E-88
XMD11-85h,XMD8-85,0.867795467,NA,4.2876E-101
BMS-754807,Cetuximab,0.867784374,0.215827338,4.35109E-68
681640,Paclitaxel,0.86778419,0.248962656,0.9
Nutlin-3a,XL-184,0.86771442,0.196787149,1.18275E-67
KIN001-266,MPS-1-IN-1,0.86769256,0.276978417,NA
HG-5-88-01,QL-XI-92,0.867690912,NA,6.8765E-129
AZD6244,KIN001-236,0.867684578,NA,NA
681640,MS-275,0.86765987,0.308510638,1.18275E-67
Docetaxel,KIN001-055,0.867632314,0.1015625,2.37561E-66
MLN4924,NG-25,0.867618245,0.295719844,1.03567E-93
Paclitaxel,T0901317,0.867610815,0.163179916,6.45759E-66
IPA-3,Parthenolide,0.867595975,0.090909091,7.96929E-70
IOX2,Methotrexate,0.867546595,0.307053942,6.45759E-66
Nutlin-3a,SB590885,0.867537677,0.325088339,8.4863E-133
NVP-BHG712,Parthenolide,0.867526232,0.089494163,6.2706E-132
EKB-569,TGX221,0.867521853,0.23183391,1.07853E-70
BMS-536924,FMK,0.867512637,0.20123839,3.21504E-67
AT-7519,THZ-2-102-1,0.867489346,NA,0.9
SB590885,TL-1-85,0.867476459,NA,NA
MPS-1-IN-1,VNLG/124,0.867470178,0.166666667,NA
CGP-60474,XMD8-92,0.867452379,0.308016878,7.96929E-70
EHT 1864,XMD15-27,0.867446424,NA,NA
CP466722,Sorafenib,0.867378047,0.210714286,4.58196E-88
GSK2126458,IPA-3,0.867336265,0.151832461,1.60068E-68
PF-4708671,PF-562271,0.867309763,0.353909465,0.9
Bleomycin,Pazopanib,0.86726072,0.18510158,0.9
AT-7519,Nutlin-3a,0.867209033,0.230769231,3.21504E-67
Genentech Cpd 10,MPS-1-IN-1,0.867195381,NA,NA
17-AAG,AZD6244,0.867187196,0.171821306,0.9
Docetaxel,IOX2,0.867138164,0.247058824,1.07853E-70
KIN001-270,QL-VIII-58,0.867116249,NA,1.3459E-117
I-BET,Nutlin-3a,0.867064881,0.286644951,1.45963E-71
LAQ824,QS11,0.867062068,0.31122449,2.6734E-73
KIN001-055,XMD13-2,0.867032216,NA,NA
NG-25,Paclitaxel,0.867003124,0.220532319,0.9
CAY10603,GW-2580,0.866998686,0.164502165,3.61805E-74
CMK,Lapatinib,0.86694108,0.269230769,NA
BX-795,Temsirolimus,0.866912447,0.167259786,2.37561E-66
AZD6482,XMD8-85,0.866900392,0.228840125,3.38564E-87
Z-LLNle-CHO,ZM-447439,0.866888894,0.191176471,2.43783E-76
HG-5-88-01,Tubastatin A,0.866884936,NA,1.07853E-70
BI-2536,ZG-10,0.866883152,0.337209302,NA
AZ628,HG-5-113-01,0.866882563,NA,4.6334E-131
Imatinib,Pazopanib,0.866872876,0.310344828,0.9
SNX-2112,THZ-2-102-1,0.866851326,NA,7.7385E-136
A-770041,AZD-0530,0.866799305,0.284023669,0.9
DMOG,NVP-BEZ235,0.866754425,0.088435374,1.1192E-123
BMS-345541,CAY10603,0.866701657,0.160869565,1.60068E-68
NU-7441,XL-880,0.866688416,0.24015748,1.45963E-71
Gemcitabine,Sunitinib,0.866678808,0.167808219,0.9
GSK-1904529A,Nilotinib,0.86667822,0.443768997,3.21504E-67
AZD7762,PFI-1,0.866664771,0.252066116,6.2706E-132
HG-5-88-01,MPS-1-IN-1,0.866627731,NA,NA
BX-912,Lenalidomide,0.866627136,0.204761905,1.80132E-75
CCT018159,VX-11e,0.866577973,0.178125,8.96826E-77
Docetaxel,NG-25,0.866577184,0.207407407,3.21504E-67
CAY10603,XMD11-85h,0.866440621,NA,1.07853E-70
Cytarabine,MP470,0.866421801,0.132616487,0.9
IPA-3,Vorinostat,0.866405692,0.122222222,4.35109E-68
Cisplatin,XMD15-27,0.866397852,NA,NA
NSC-207895,XMD8-92,0.866375649,0.193675889,4.5151E-121
IPA-3,NSC-87877,0.866366062,0.097457627,1.64259E-78
CCT007093,XMD11-85h,0.866313822,NA,3.0873E-90
BMN-673,Tipifarnib,0.866289043,0.225806452,4.07158E-81
GNF-2,XMD13-2,0.866284062,NA,NA
Masitinib,Tamoxifen,0.86627573,0.141552511,2.37561E-66
PHA-665752,Vismodegib,0.866249665,0.333333333,8.96826E-77
HG-5-88-01,XMD11-85h,0.866247672,NA,1.7045E-131
BAY 61-3606,MLN4924,0.866174033,0.307142857,4.46503E-78
Rapamycin,Vismodegib,0.866165358,0.1125,4.35109E-68
HG-5-113-01,Tubastatin A,0.866134138,NA,2.43783E-76
AG-014699,NSC-87877,0.866095215,0.244147157,2.93174E-70
MPS-1-IN-1,TG101348,0.866080035,0.450892857,NA
GDC0941,GSK-1904529A,0.86606847,0.360110803,8.4863E-133
AICAR,QL-XI-92,0.866021423,NA,2.596E-139
AZD-0530,HG-6-64-1,0.866013439,0.287313433,0.9
KIN001-102,XMD13-2,0.865950496,NA,NA
AUY922,GW 441756,0.865915811,0.228956229,1.33101E-74
IOX2,TPCA-1,0.86587943,0.193965517,4.2251E-134
PAC-1,TPCA-1,0.865875777,0.159817352,4.07158E-81
Axitinib,BMS-345541,0.865849914,0.228855721,6.45759E-66
CGP-60474,OSI-027,0.865840754,0.143283582,6.45759E-66
OSI-930,SB-505124,0.865799867,0.231092437,6.97832E-96
OSI-930,VX-680,0.865781562,0.226923077,6.45759E-66
681640,Nilotinib,0.865709033,0.26171875,0.9
AZD7762,IOX2,0.86566535,0.231075697,3.96768E-71
BMS-509744,KIN001-055,0.865593016,0.164609053,6.20101E-89
BX-912,YK 4-279,0.86557189,0.212598425,NA
Camptothecin,GSK690693,0.86557108,0.26142132,5.51029E-82
Crizotinib,OSI-906,0.865559691,0.237410072,3.21504E-67
Bortezomib,Temsirolimus,0.865551198,0.185950413,0.9
KIN001-055,Masitinib,0.865520844,0.207792208,4.6334E-131
Mitomycin C,QL-X-138,0.865500108,0.136986301,4.2251E-134
ABT-869,Sorafenib,0.865480925,0.333333333,0.9
STF-62247,ZG-10,0.865477265,0.339901478,NA
GW-2580,TGX221,0.865433485,0.160447761,1.60068E-68
Erlotinib,GSK-650394,0.865238855,0.234375,6.45759E-66
NVP-BHG712,VX-11e,0.865236184,0.36026936,1.7045E-131
Dabrafenib,SNX-2112,0.865181114,0.197402597,6.2706E-132
BX-795,Genentech Cpd 10,0.865147654,NA,0.9
EHT 1864,KU-55933,0.865112841,0.310077519,2.22301E-79
AMG-706,NPK76-II-72-1,0.865100349,NA,4.46503E-78
HG-5-88-01,PFI-1,0.865081756,NA,2.3068E-132
BMN-673,JNK Inhibitor VIII,0.865038261,0.186968839,7.96929E-70
Bosutinib,JNK-9L,0.86502139,0.189473684,NA
GSK-650394,LAQ824,0.865004799,0.304093567,2.341E-99
681640,GW 441756,0.8649907,0.229787234,8.73939E-67
Docetaxel,PD-0332991,0.864976342,0.197492163,6.6267E-76
GSK-650394,RDEA119,0.864939915,0.139130435,2.50167E-86
Crizotinib,SN-38,0.864905137,0.241286863,6.45759E-66
BAY 61-3606,CAY10603,0.864879698,0.223826715,2.4652E-119
JNK-9L,TGX221,0.864803599,0.204968944,NA
Dabrafenib,PAC-1,0.864797899,0.125,0.9
Elesclomol,MS-275,0.864688726,0.238709677,1.7045E-131
GW 441756,UNC0638,0.864654228,0.269387755,5.51029E-82
piperlongumine,Tipifarnib,0.864631768,0.234146341,5.36967E-72
AG-014699,CH5424802,0.864612361,0.347280335,1.53708E-91
piperlongumine,XMD14-99,0.864597649,NA,6.6267E-76
HG-6-64-1,KIN001-266,0.864590124,0.285714286,3.1219E-133
AMG-706,Embelin,0.864502534,0.060773481,2.37561E-66
CUDC-101,Methotrexate,0.864399388,0.32244898,6.45759E-66
681640,WZ-1-84,0.864386162,0.183333333,6.45759E-66
AZD7762,Bryostatin 1,0.864347027,0.102661597,1.9466E-105
Camptothecin,Vinorelbine,0.864341691,0.393034826,1.18275E-67
AS605240,JQ1,0.864341269,0.162079511,6.45759E-66
5-Fluorouracil,XMD8-92,0.864331755,0.097777778,3.21504E-67
(5Z)-7-Oxozeaenol,IPA-3,0.864279712,0.138888889,1.21372E-77
ABT-263,PXD101; Belinostat,0.864274032,0.269230769,6.45759E-66
Docetaxel,Vinblastine,0.864225963,0.338983051,1.07853E-70
CGP-60474,SB-715992,0.864212728,0.172268908,3.21504E-67
Camptothecin,JW-7-24-1,0.864195443,NA,4.2251E-134
AT-7519,GNF-2,0.864135526,0.215246637,1.45963E-71
Bryostatin 1,Elesclomol,0.864095511,0.077348066,2.3068E-132
HG-5-113-01,KIN001-260,0.864080749,NA,NA
AG-014699,PD-0332991,0.864069921,0.208754209,2.43783E-76
KIN001-244,XMD8-92,0.864066112,0.32967033,9.20312E-87
DMOG,XL-880,0.864023443,0.152866242,4.35109E-68
Embelin,S-Trityl-L-cysteine,0.864016501,0.12037037,1.97539E-72
A-770041,Midostaurin,0.863996609,0.327536232,1.97539E-72
CCT018159,WZ-1-84,0.863983491,0.161403509,1.8692E-128
TL-1-85,VX-680,0.863955351,NA,NA
JNK Inhibitor VIII,NVP-BEZ235,0.863944846,0.305936073,1.45963E-71
JQ1,Temsirolimus,0.863927841,0.189111748,0.9
SNX-2112,VNLG/124,0.863873201,0.14028777,NA
JQ1,VX-680,0.863864078,0.213296399,2.37561E-66
KU-55933,SB-715992,0.863814336,0.183150183,4.70196E-98
JNK-9L,Vinorelbine,0.863804402,0.188095238,NA
ABT-888,NVP-BHG712,0.863783043,0.259109312,7.96929E-70
AG-014699,Obatoclax Mesylate,0.863782667,0.185667752,3.21504E-67
Bleomycin,Elesclomol,0.863752357,0.10591133,7.45737E-83
IPA-3,QL-XI-92,0.863731875,NA,3.1219E-133
PI-103,XAV 939,0.863675392,0.183050847,8.73939E-67
CGP-082996,Sorafenib,0.863661143,0.245454545,4.8965E-75
OSI-027,TW 37,0.86362073,0.148367953,8.73939E-67
SNX-2112,TPCA-1,0.863562822,0.195286195,3.1219E-133
Bleomycin,Bryostatin 1,0.863556425,0.178147268,0.9
NVP-TAE684,SB-715992,0.863467635,0.211895911,3.0873E-90
BIX02189,EHT 1864,0.863412639,0.206896552,8.73939E-67
Masitinib,PF-4708671,0.863395297,0.230452675,2.1347E-102
Phenformin,QL-XI-92,0.863342149,NA,2.1036E-135
PFI-1,ZM-447439,0.863340612,0.290909091,1.18275E-67
KIN001-244,Mitomycin C,0.863303664,0.224832215,1.1485E-133
Methotrexate,WZ-1-84,0.863288418,0.402542373,4.35109E-68
FR-180204,GSK-650394,0.863238493,0.342105263,2.3068E-132
CEP-701,FR-180204,0.863204644,0.191570881,1.27812E-97
AMG-706,KIN001-236,0.863181119,NA,NA
A-443654,CP466722,0.863153866,0.227758007,1.7045E-131
BMS-708163,XMD14-99,0.863127459,NA,1.97539E-72
LFM-A13,Nilotinib,0.863116064,0.188034188,6.2706E-132
BX-795,Nilotinib,0.863097432,0.328571429,6.45759E-66
ABT-263,LAQ824,0.863047059,0.26199262,5.51029E-82
Sorafenib,THZ-2-49,0.863029785,NA,2.37561E-66
Docetaxel,Nutlin-3a,0.86297953,0.235690236,3.1682E-100
BMS-754807,ZG-10,0.862977965,0.26433121,NA
CX-5461,T0901317,0.862933659,0.159883721,7.7385E-136
Dasatinib,MPS-1-IN-1,0.862929855,0.294520548,NA
Dasatinib,XMD8-85,0.862921352,0.355633803,3.21504E-67
Midostaurin,XL-880,0.862917581,0.297709924,0.9
THZ-2-102-1,TL-1-85,0.862912274,NA,NA
5-Fluorouracil,KIN001-244,0.862871474,0.18226601,6.6267E-76
AC220,YK 4-279,0.862835957,0.241269841,NA
GSK269962A,Ruxolitinib,0.862813052,0.248322148,1.49785E-81
AC220,CP724714,0.862809471,0.342372881,6.2706E-132
T0901317,THZ-2-102-1,0.862771225,NA,1.1485E-133
XAV 939,ZG-10,0.862764715,0.223076923,NA
CX-5461,Temsirolimus,0.862749619,0.186666667,3.7128E-84
Dabrafenib,PF-562271,0.862735638,0.272727273,8.73939E-67
CUDC-101,Pazopanib,0.862721368,0.346846847,0.9
ATRA,rTRAIL,0.862705687,NA,NA
AS605240,FTI-277,0.86266991,0.180952381,9.0689E-120
Lapatinib,XL-880,0.862628893,0.287313433,0.9
Cetuximab,Rapamycin,0.86257922,0.131147541,0.9
AC220,Roscovitine,0.862576084,0.217252396,1.3812E-127
OSI-930,QS11,0.862575235,0.296460177,6.2706E-132
PLX4720,Thapsigargin,0.862559401,0.067226891,1.24551E-87
KIN001-236,WZ3105,0.86248715,NA,NA
CGP-082996,YM201636,0.862482054,0.32967033,5.15632E-95
Afatinib,Bryostatin 1,0.862436548,0.178137652,7.26706E-73
ABT-888,MLN4924,0.862355951,0.235294118,1.1485E-133
GSK-650394,QL-XII-47,0.862344373,0.256410256,3.21504E-67
Nilotinib,Pazopanib,0.862331714,0.273062731,0.9
BMS-345541,Docetaxel,0.862307204,0.134387352,6.45759E-66
Gemcitabine,PAC-1,0.862300599,0.160869565,8.73939E-67
CMK,VX-702,0.862289272,0.294545455,NA
MS-275,VX-680,0.862250374,0.221757322,1.18275E-67
Obatoclax Mesylate,Tamoxifen,0.862244603,0.183333333,1.18275E-67
JNJ-26854165,XL-880,0.862234125,0.3125,1.07853E-70
OSI-930,ZSTK474,0.86220961,0.18018018,7.26706E-73
CEP-701,PXD101; Belinostat,0.862183412,0.141025641,2.37561E-66
PAC-1,VX-680,0.86218291,0.178137652,8.39216E-90
Lenalidomide,Temsirolimus,0.862160706,0.218446602,1.45963E-71
BI-2536,Thapsigargin,0.862130711,0.120155039,2.22301E-79
HG-5-88-01,MS-275,0.862126784,NA,8.39216E-90
MP470,VX-680,0.862087225,0.325757576,6.45759E-66
ATRA,XMD15-27,0.861985186,NA,NA
PIK-93,QS11,0.861907147,0.188888889,6.2706E-132
BMS-509744,WH-4-023,0.861844895,0.254545455,4.6334E-131
GSK-1904529A,Lenalidomide,0.861812723,0.217948718,3.1219E-133
Lenalidomide,Temozolomide,0.861804925,0.135371179,1.60068E-68
AT-7519,Masitinib,0.861790709,0.228915663,6.45759E-66
Docetaxel,THZ-2-102-1,0.861772075,NA,2.81526E-93
Phenformin,ZM-447439,0.861744786,0.152046784,1.60068E-68
Gemcitabine,Ruxolitinib,0.861706234,0.093984962,6.45759E-66
CAY10603,VX-11e,0.861666145,0.28113879,7.45737E-83
Bosutinib,Elesclomol,0.861605255,0.165803109,3.38564E-87
ATRA,KIN001-244,0.861596462,0.111111111,2.50167E-86
